ID,MA,FA,Cs,Avg Mass of A,Radius of A,Pb,Sn,Avg Mass of B,Radius of B,Br,Cl,I,Radius of X,Tolerance Factor,New Tolerance Factor,Octahedral Factor,Band gap,Del H,Del L,Voc,Jsc,FF,PCE,REF
274,1,0,0,32.065,2.7,1,0,207,1.18,0,0,0.95,1.957,1.049727855,3.422800284,0.60296372,1.6,0.08,0.2,1.13,19,0.71,16,142
275,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.6,0.32,0.1,1.145,23.12,0.64,16.9,143
276,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.6,0.34,0.1,1.132,23.59,0.75,20.1,143
277,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.6,0.39,0.1,1.13,23.87,0.76,20.6,143
278,0.7,0.3,0,35.6566,2.727,1,0,207,1.18,0,0.1,0.9,2.035,1.047353808,3.483381306,0.5798525799,1.5,0,0,1.1,18.55,0.5336,10.7,144
279,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.2,0.3,1.01,19.74,0.734,14.64,145
280,0,0,1,132.905,1.81,1,0,207,1.18,0.67,0,0.33,1.8992,0.8517798366,4.194937578,0.6213142376,2.08,0.8,0.08,0.85,10.56,0.62,5.52,146
281,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.21,0.1,0.965,21.7,0.7,14.65,147
282,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.21,0.03,0.9645,21.5,0.7,14.51,147
283,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.21,0.47,0.955,20.5,0.65,12.77,147
284,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.21,0.4,0.959,20.35,0.645,12.59,147
285,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.6,0.43,0.15,1.13,23.52,0.76,20.2,148
286,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.6,0.51,0.15,1.08,22.01,0.65,15.5,148
287,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.55,0.18,0.37,0.98,22.94,0.7,15.9,149
288,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.55,0.28,0.37,0.94,20.5,0.56,10.8,149
289,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.2,0.1,1.1,22.3,0.77,18.9,150
290,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.2,0.32,1.06,21.8,0.706,16.3,150
291,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.35,0.3,1.11,22.7,0.78,19.54,151
292,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.3,0.1,1.06,19.2,0.745,15.2,152
293,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.55,0.08,0.17,0.9,18.5,0.8,13.3,153
294,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.22,0.3,1.07,20.15,0.77,16.6,154
295,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.32,0.3,1,18.56,0.79,14.6,154
296,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.55,0.08,0.39,0.97,21.48,0.73,15.24,155
297,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.58,0.06,0.3,1.14,23.4,0.823,22,156
298,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.58,0.05,0.3,1.13,23.4,0.703,18.6,156
299,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.58,0.44,0.3,1.1,23.4,0.827,21.3,156
300,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.17,0.2,1.1,20.6,0.797,18.06,157
