Tolerance Factor,New Tolerance Factor,Octahedral Factor,Band gap,Del H,Del L,Voc,Jsc,FF,PCE
1.038835888,3.51008842,0.572815534,1.5,0.3,0.18,1.045,20.3,0.677,14.4
1.038835888,3.51008842,0.572815534,1.5,0.5,0.3,1,18.52,0.78,14.45
1.037089946,3.511813861,0.572815534,1.55,0.16,0.37,1.02,20.03,0.71,14.49
1.038835888,3.51008842,0.572815534,1.5,0.2,0.18,1.07,19.6,0.69,14.5
1.038835888,3.51008842,0.572815534,1.5,0.4,0.2,0.91,20.92,0.76,14.5
1.003420144,3.528656523,0.5831296722,1.5,0.14,0,1,21.2,0.69,14.5
1.038835888,3.51008842,0.572815534,1.5,0.21,0.03,0.9645,21.5,0.7,14.51
0.8480449209,4.26409012,0.5957189015,1.92,0.83,0.05,1.23,15,0.785,14.6
1.038835888,3.51008842,0.572815534,1.5,0.65,0.32,1.05,20.6,0.69,14.6
1.038835888,3.51008842,0.572815534,1.5,0.32,0.3,1,18.56,0.79,14.6
1.038835888,3.51008842,0.572815534,1.5,0.2,0.3,1.01,19.74,0.734,14.64
1.038835888,3.51008842,0.572815534,1.5,0.21,0.1,0.965,21.7,0.7,14.65
1.038835888,3.51008842,0.572815534,1.5,-0.1,0.3,1.03,18.23,0.78,14.66
1.038835888,3.51008842,0.572815534,1.5,0.2,0.3,0.98,19.1,0.78,14.7
1.038835888,3.51008842,0.572815534,1.55,-0.1,0.26,1.02,21.29,0.6731,14.81
1.038835888,3.51008842,0.572815534,1.5,0.2,0.3,1,18.85,0.79,14.83
1.040120664,3.499495199,0.5763125763,1.55,0.3,0.2,1.02,20.3,0.72,14.9
1.048299286,3.470646654,0.5843898574,1.7,0.2,0.2,1.04,20.54,0.7,14.92
1.038835888,3.51008842,0.572815534,1.5,0.18,0.38,1.021,21.64,0.679,15
1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,0.99,22,0.69,15
1.038835888,3.51008842,0.572815534,1.5,0.18,0.3,1.09,19.7,0.699,15
1.038835888,3.51008842,0.572815534,1.5,0.2,0.3,0.96,19.8,0.79,15.01
1.038835888,3.51008842,0.572815534,1.45,0.06,0.35,1.04,20.15,0.72,15.09
1.038835888,3.51008842,0.572815534,1.5,0.1,0.6,1.04,20.4,0.68,15.1
1.038835888,3.51008842,0.572815534,1.5,0.4,0.1,0.95,21.03,0.755,15.1
1.040120664,3.499495199,0.5763125763,1.55,0.1,0.15,0.99,19.58,0.78,15.12
1.040120664,3.499495199,0.5763125763,1.63,0.21,0.15,1.036,19.1,0.77,15.15
1.038835888,3.51008842,0.572815534,1.5,0.2,0,1.039,20.71,0.704,15.15
1.059446349,3.465084977,0.5830039526,1.73,0.18,0.43,1.05,20.94,0.69,15.17
1.05825999,3.471488258,0.5809373769,1.58,0.4,0.16,1.103,21.96,0.6274,15.2
